decade,com_lat,com_lon,count
1950,32.10646302250804,-98.37247588424438,622.0
1960,31.86395604395604,-98.7316990701606,1183.0
1970,31.970482180293498,-98.2603284416492,1431.0
1980,32.2208670931059,-98.76970859985784,1407.0
1990,32.163305687203795,-98.52258886255925,1688.0
2000,31.942920644718793,-98.73870438957478,1458.0
2010,32.11672758037225,-98.09973730964468,1182.0
2020,32.64406460674157,-98.3548831460674,178.0
