metric,value
Latitude Slope (deg/year),0.0011799222065760069
Longitude Slope (deg/year),0.00173695955824051
Latitude R-squared,0.0015881163724778748
Longitude R-squared,0.0026079869520140753
Latitude P-value,0.7396156008491805
Longitude P-value,0.6700900225991145
Total Lat Shift (deg),0.08377447666689648
Total Lon Shift (deg),0.1233241286350762
Total Shift Distance (km),14.865269445176484
