period_5yr,com_lat,com_lon,count
1950,31.944267515923567,-98.01171974522293,157.0
1955,32.16122580645161,-98.49427956989247,465.0
1960,32.16777335984096,-98.879662027833,503.0
1965,31.639220588235293,-98.62225000000001,680.0
1970,31.766397774687068,-98.09810848400558,719.0
1975,32.17657303370787,-98.42414325842695,712.0
1980,31.952839506172843,-98.24785185185186,810.0
1985,32.584522613065324,-99.4777554438861,597.0
1990,32.135088967971534,-98.44364175563463,843.0
1995,32.19145562130177,-98.60134911242604,845.0
2000,31.614652338811634,-98.52816687737041,791.0
2005,32.33221634182908,-98.98838230884556,667.0
2010,31.889310792951537,-97.87553744493391,454.0
2015,32.25855068681319,-98.23955425824178,728.0
2020,32.64406460674157,-98.3548831460674,178.0
