Predictor,Unweighted_Coef,Weighted_Coef,Coef_Difference
u10,0.009840082301994048,0.060431695718856204,0.050591613416862156
v10,0.016069458320074278,0.12711630559650897,0.11104684727643468
d2m,-0.011846375658103321,-0.1250463379487033,-0.11319996229059998
t2m,-0.008280783521174076,-0.017002009589449016,-0.00872122606827494
msl,0.0013128496836592913,0.07485981466576704,0.07354696498210775
tcc,0.021522785075221613,0.16177801739672967,0.14025523232150805
tp,0.03291921606290107,0.14460895244309827,0.11168973638019719
len,0.22125335841142021,0.1260210654012066,-0.0952322930102136
wid,0.2053427707028336,0.14485226733687204,-0.06049050336596157
yr,-0.0853456872512261,-0.23908424235047537,-0.15373855509924927
mo,0.026657438370300955,0.11470204254984341,0.08804460417954246
dy,-0.026065856238824608,-0.17267220518352366,-0.14660634894469907
mag,0.06930596689693828,1.968567897938784,1.8992619310418457
slat,-0.05543105551248585,-0.23391808416818438,-0.17848702865569854
slon,-0.0397356698690097,-0.8030276928955791,-0.7632920230265694
elat,0.07025672955932441,1.3236635542097699,1.2534068246504455
elon,0.036875760031423524,1.108937430129258,1.0720616700978345
latitude,-0.00027435716713505913,-0.3239671763227321,-0.323692819155597
longitude,0.11670802009214298,1.1080043060433846,0.9912962859512416
dist2,0.0011655529542834166,-6.512870575993682,-6.514036128947965
