Predictor,Unweighted_OR,Weighted_OR,OR_Difference,Pct_Change_OR
mag,1.07176408331729,7.160414697487099,6.088650614169809,568.0961611742401
elat,1.0727835611545293,3.757160756519763,2.684377195365234,250.22542221623044
elon,1.037564105898216,3.031135889000506,1.99357178310229,192.1396250862458
longitude,1.1237912573152369,3.0283087823207273,1.9045175250054904,169.4725343882303
dist2,1.0011662324751083,0.0014842130557255948,-0.9996820194193827,-99.85175158654161
slon,0.961043438318966,0.44797059141015816,-0.5130728469088078,-53.387061026738024
latitude,0.9997256804653508,0.7232739825019991,-0.2764516979633517,-27.652755487352227
slat,0.946077248233,0.791426643612172,-0.15465060462082802,-16.346509221067397
tcc,1.0217560708610895,1.1755992497724126,0.15384317891132304,15.05674233789196
yr,0.9181948212892819,0.7873485514861717,-0.1308462698031102,-14.250382028879516
dy,0.9742709256772136,0.8414133805895342,-0.13285754508767944,-13.636611910114269
tp,1.0334670483319623,1.1555875921966066,0.12212054386464422,11.816588062652734
v10,1.0161992664487545,1.135549080814712,0.11934981436595749,11.74472549887204
d2m,0.9882235163886256,0.8824560104358291,-0.10576750595279649,-10.70279184807445
