Predictor,Unweighted_OR,Weighted_OR,OR_Difference,Pct_Change_OR
longitude,1.4032837863985708,6586.492579192006,6585.089295405607,469262.83615844924
slat,1.3014009456512807,1795.750250313519,1794.4488493678678,137885.93402856667
mag,1.0224587529928764,18.47256394100865,17.450105188015776,1706.6806007515645
slon,0.7231348220185864,0.00031845956508607683,-0.7228163624535003,-99.95596124603749
latitude,0.7705577740928456,0.000750100021708102,-0.7698076740711376,-99.90265492777733
elon,0.8980334275638023,0.0029275251751487933,-0.8951059023886535,-99.67400710426885
elat,0.9046173188077679,0.003722814868143139,-0.9008945039396247,-99.58846522272538
v10,1.0080242049090429,1.5188017434188894,0.5107775385098465,50.67115809544826
dist2,1.0124709785596206,1.3727260487531543,0.36025507019353364,35.581767559011524
msl,1.0027883679079062,1.2912282169861764,0.28843984907827025,28.763780904243593
d2m,1.000248615284505,0.741063012249566,-0.25918560303493887,-25.912118154866693
tp,1.0050305868204636,1.1989988321356264,0.19396824531516277,19.299735536288985
tcc,1.0032241895288494,1.1429754273611843,0.1397512378323349,13.930210145547544
dy,0.998923042099428,0.881175881186703,-0.11774716091272497,-11.78741063628453
